,,,,,,,,,,,,,,,,,,,,,,
cal,Motor rate,Cable type,Starter type,L Cable,L size,unit,L type,G Cable,G size,unit2,G type,in,size,type,,,,,,,,
7.5|XLPE SC|DOL,7.5,XLPE SC,DOL,3x1C,2.5,Sq.mm.,CV-FD,/G-1x1C,2.5,Sq.mm.,IEC01,in,"3/4""",IMC,,,,,,,,
7.5|XLPE MC|DOL,7.5,XLPE MC,DOL,1x3C,2.5,Sq.mm.,CV-FD,/G-1x1C,2.5,Sq.mm.,IEC01,in,"1""",IMC,,,,,,,,
7.5|PVC SC|YD,7.5,PVC SC,YD,6x1C,4,Sq.mm.,IEC01,/G-1x1C,4,Sq.mm.,IEC01,in,"3/4""",IMC,,,,,,,,
7.5|PVC MC|YD,7.5,PVC MC,YD,2x3C,4,Sq.mm.,IEC10,/G-1x1C,4,Sq.mm.,IEC01,in,"1 1/4""",IMC,,,,,,,,
7.5|XLPE SC|YD,7.5,XLPE SC,YD,6x1C,2.5,Sq.mm.,CV-FD,/G-1x1C,2.5,Sq.mm.,IEC01,in,"1 1/4""",IMC,,,,,,,,
7.5|XLPE MC|YD,7.5,XLPE MC,YD,2x3C,2.5,Sq.mm.,CV-FD,/G-1x1C,2.5,Sq.mm.,IEC01,in,"1 1/4""",IMC,,,,,,,,
9|PVC SC|DOL,9,PVC SC,DOL,3x1C,4,Sq.mm.,IEC01,/G-1x1C,4,Sq.mm.,IEC01,in,"1/2""",IMC,,,,,,,,
9|PVC MC|DOL,9,PVC MC,DOL,1x3C,6,Sq.mm.,IEC10,/G-1x1C,6,Sq.mm.,IEC01,in,"1 1/4""",IMC,,,,,,,,
9|XLPE SC|DOL,9,XLPE SC,DOL,3x1C,2.5,Sq.mm.,CV-FD,/G-1x1C,2.5,Sq.mm.,IEC01,in,"3/4""",IMC,,,,,,,,
9|XLPE MC|DOL,9,XLPE MC,DOL,1x3C,2.5,Sq.mm.,CV-FD,/G-1x1C,2.5,Sq.mm.,IEC01,in,"1""",IMC,,,,,,,,
9|PVC SC|YD,9,PVC SC,YD,6x1C,4,Sq.mm.,IEC01,/G-1x1C,4,Sq.mm.,IEC01,in,"3/4""",IMC,,,,,,,,
9|PVC MC|YD,9,PVC MC,YD,2x3C,6,Sq.mm.,IEC10,/G-1x1C,6,Sq.mm.,IEC01,in,"1 1/2""",IMC,,,,,,,,
9|XLPE SC|YD,9,XLPE SC,YD,6x1C,2.5,Sq.mm.,CV-FD,/G-1x1C,2.5,Sq.mm.,IEC01,in,"1 1/4""",IMC,,,,,,,,
9|XLPE MC|YD,9,XLPE MC,YD,2x3C,2.5,Sq.mm.,CV-FD,/G-1x1C,2.5,Sq.mm.,IEC01,in,"1 1/4""",IMC,,,,,,,,
11|PVC SC|DOL,11,PVC SC,DOL,3x1C,6,Sq.mm.,IEC01,/G-1x1C,6,Sq.mm.,IEC01,in,"3/4""",IMC,,,,,,,,
11|PVC MC|DOL,11,PVC MC,DOL,1x3C,6,Sq.mm.,IEC10,/G-1x1C,6,Sq.mm.,IEC01,in,"1 1/4""",IMC,,,,,,,,
11|XLPE SC|DOL,11,XLPE SC,DOL,3x1C,4,Sq.mm.,CV-FD,/G-1x1C,4,Sq.mm.,IEC01,in,"1""",IMC,,,,,,,,
